matrix,time,time(cublas),flop,flop(cublas),byte,byte(cublas)
../matrix/nos5.mtx,0.005,0.025,1.128,0.2256,6.0104,1.20208
../matrix/1138_bus.mtx,0.005,0.021,1.0384,0.247238,7.796,1.85619
../matrix/494_bus.mtx,0.004,0.034,0.54,0.0635294,4.137,0.486706
../matrix/662_bus.mtx,0.006,0.049,0.522667,0.064,3.85667,0.472245
../matrix/bcspwr02.mtx,0.01,0.046,0.0216,0.00469565,0.1652,0.035913
../matrix/bcsstk10.mtx,0.006,0.053,3.85933,0.436906,18.334,2.07555
../matrix/bcsstm08.mtx,0.011,0.048,0.195273,0.04475,2.34364,0.537083
../matrix/cavity02.mtx,0.016,0.022,0.915875,0.666091,3.98075,2.89509
../matrix/cdde4.mtx,0.004,0.022,2.3405,0.425545,13.207,2.40127
../matrix/dw2048.mtx,0.016,0.021,1.26425,0.963238,7.10525,5.41352
../matrix/e05r0000.mtx,0.005,0.021,2.3424,0.557714,10.1256,2.41086
../matrix/gr_30_30.mtx,0.005,0.023,1.7288,0.375826,9.796,2.12957
../matrix/bcsstm27.mtx,0.006,0.025,9.55833,2.294,41.498,9.95952
../matrix/ck656.mtx,0.014,0.021,0.554857,0.369905,2.96943,1.97962
../matrix/cry2500.mtx,0.005,0.031,4.9396,0.79671,27.7592,4.47729
../matrix/e20r2000.mtx,0.007,0.027,37.5874,9.74489,160.044,41.4929
../matrix/fs_760_3.mtx,0.014,0.021,0.853714,0.569143,4.28371,2.85581
../matrix/impcol_d.mtx,0.015,0.026,0.178533,0.103,1.16773,0.673692
../matrix/rdb450l.mtx,0.005,0.022,1.032,0.234545,5.5688,1.26564
../matrix/west0989.mtx,0.009,0.024,0.786,0.29475,4.90267,1.8385
../matrix/zenios.mtx,0.009,0.047,3.34044,0.63966,18.4698,3.53677
